Merchant,Location,City,State,Zip,Country,Vendor,VendorID,DCMSID,Product,Denomination,Currency,ProductCountry,SerialNumber,VAN16,TransDate,TransTime,Action,Sign,CardAmount,RefNo,HISTORYID,MarketingCode,ActivatorPartnerTransId,Min,Max
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,4900,MYR,MYS,0ee4e741093744569cc0f99eaecde896,0ee4e741093744569cc0f99eaecde896,07/16/2014,00:29:09,A,1,4900,b17fbbc3d6164c84a90337b37102bc33,b17fbbc3-d616-4c84-a903-37b37102bc33,,FI14071600000990,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,570,MYR,MYS,f83f6ed0ae58486a961a4a91eb2b039c,f83f6ed0ae58486a961a4a91eb2b039c,07/16/2014,01:46:07,A,1,570,72e7019674374fa5b7729479c6f99ddd,72e70196-7437-4fa5-b772-9479c6f99ddd,,FI14071600001158,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,570,MYR,MYS,905417f941474ed4a0c316ac0de7e8f6,905417f941474ed4a0c316ac0de7e8f6,07/16/2014,01:46:36,A,1,570,5528836ed1de450898513cce0a1fd37a,5528836e-d1de-4508-9851-3cce0a1fd37a,,FI14071600001159,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,4900,MYR,MYS,d09532857dd040f4bcfdc8eea949ea06,d09532857dd040f4bcfdc8eea949ea06,07/16/2014,03:08:29,A,1,4900,00222dde6c5b478781a10842966808e8,00222dde-6c5b-4787-81a1-0842966808e8,,FI14071600001385,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,1700,MYR,MYS,e8e378d0e76b4b7da30c85b1ea759b2a,e8e378d0e76b4b7da30c85b1ea759b2a,07/16/2014,03:20:08,A,1,1700,31bfa614e3264b32a41d8274e4a944a4,31bfa614-e326-4b32-a41d-8274e4a944a4,,FI14071600001423,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,1700,MYR,MYS,f10140660a094268960d1a0a514fb9bb,f10140660a094268960d1a0a514fb9bb,07/16/2014,04:38:43,A,1,1700,815ecfe35ff6492ea2193bd66ee19188,815ecfe3-5ff6-492e-a219-3bd66ee19188,,FI14071600001679,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,10800,MYR,MYS,35f6d84867d64002a79cb65df717bafd,35f6d84867d64002a79cb65df717bafd,07/16/2014,05:08:52,A,1,10800,903ef97dc9b040b9bd9a083b4b68f868,903ef97d-c9b0-40b9-bd9a-083b4b68f868,,FI14071600001842,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,3800,MYR,MYS,d0aba0c577de4fa4a03104f62d507c78,d0aba0c577de4fa4a03104f62d507c78,07/16/2014,06:35:31,A,1,3800,47b22483ee2b4ec0a5071bb1f116884d,47b22483-ee2b-4ec0-a507-1bb1f116884d,,FI14071600002240,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,3800,MYR,MYS,4cb6cd7b85c24c89807dd1cae4b792de,4cb6cd7b85c24c89807dd1cae4b792de,07/16/2014,06:35:55,A,1,3800,1f0e214c0377482d80a503233691afe9,1f0e214c-0377-482d-80a5-03233691afe9,,FI14071600002243,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,4350,MYR,MYS,49afb2d8b290453aa7528161bc92e00e,49afb2d8b290453aa7528161bc92e00e,07/16/2014,06:36:17,A,1,4350,387c7add8c774e51b9d2b067577f31ea,387c7add-8c77-4e51-b9d2-b067577f31ea,,FI14071600002247,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,4350,MYR,MYS,7e6c976abab848268bb30a72970597af,7e6c976abab848268bb30a72970597af,07/16/2014,06:36:37,A,1,4350,9f969a6087494d048602a935c1cae806,9f969a60-8749-4d04-8602-a935c1cae806,,FI14071600002252,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,1700,MYR,MYS,7e293f5ea13948c4a93550b0a6895c7b,7e293f5ea13948c4a93550b0a6895c7b,07/16/2014,06:55:56,A,1,1700,9878735a0cb143f2a2e728d280825ec1,9878735a-0cb1-43f2-a2e7-28d280825ec1,,FI14071600002348,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,3800,MYR,MYS,7431e9b897d24cf0806111a477d370c9,7431e9b897d24cf0806111a477d370c9,07/16/2014,07:23:04,A,1,3800,efa03ea8821f44b78b43fe3b358ae699,efa03ea8-821f-44b7-8b43-fe3b358ae699,,FI14071600002480,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,10800,MYR,MYS,4b6a02e4e04f402eb921708967b10e83,4b6a02e4e04f402eb921708967b10e83,07/16/2014,13:37:35,A,1,10800,9b97c8c05ec44e8291acc87ca283c412,9b97c8c0-5ec4-4e82-91ac-c87ca283c412,,FI14071700000303,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,4900,MYR,MYS,8d18d4dde5f54099a4a5f1acf03a7c75,8d18d4dde5f54099a4a5f1acf03a7c75,07/16/2014,20:06:38,A,1,4900,886b9d166331424d98823506709e6ab9,886b9d16-6331-424d-9882-3506709e6ab9,,FI14071700000589,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,1700,MYR,MYS,14ca4974f7cf43629741a4df544dce80,14ca4974f7cf43629741a4df544dce80,07/16/2014,20:07:33,A,1,1700,f54bc58b56d0449aa0bfb51205ea99ff,f54bc58b-56d0-449a-a0bf-b51205ea99ff,,FI14071700000591,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,3800,MYR,MYS,5f36e059f0f44e1a83754c5bc2089f88,5f36e059f0f44e1a83754c5bc2089f88,07/16/2014,20:29:16,A,1,3800,247f6fb26cf94a10b025ec91d436758e,247f6fb2-6cf9-4a10-b025-ec91d436758e,,FI14071700000658,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,1700,MYR,MYS,8535c36e1f0441ddbfa579b7f769d088,8535c36e1f0441ddbfa579b7f769d088,07/16/2014,20:34:41,A,1,1700,8dfae50316b54a629e6ff01e1a2eaf54,8dfae503-16b5-4a62-9e6f-f01e1a2eaf54,,FI14071700000674,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,1700,MYR,MYS,7c58c3e23cba4aef91d1c2a8a605b469,7c58c3e23cba4aef91d1c2a8a605b469,07/16/2014,20:35:00,A,1,1700,54b49bfc11d942259e46cb38d6671785,54b49bfc-11d9-4225-9e46-cb38d6671785,,FI14071700000677,570,32300
MyCard,,,,,,Facebook,,12345,FAC19MARGIN0MYR-DIGGMGMYC-001,4900,MYR,MYS,d4842612e45946a0b751401720d6166c,d4842612e45946a0b751401720d6166c,07/16/2014,20:35:20,A,1,4900,607c2c6e42914adea2bbdd03d78bd7f9,607c2c6e-4291-4ade-a2bb-dd03d78bd7f9,,FI14071700000678,570,32300
