Merchant,Location,City,State,Zip,Country,Vendor,VendorID,DCMSID,Product,Denomination,Currency,ProductCountry,SerialNumber,VAN16,TransDate,TransTime,Action,Sign,CardAmount,RefNo,HISTORYID,MarketingCode,ActivatorPartnerTransId,Min,Max
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,12000,HKD,HKG,9e251583f2284ea6af9f66ac2f62641d,9e251583f2284ea6af9f66ac2f62641d,07/17/2014,00:00:07,A,1,12000,b03b41fba71c4f3aa978b3b2c499284b,b03b41fb-a71c-4f3a-a978-b3b2c499284b,,FI14071700001229,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10000,HKD,HKG,fc9f96f0024648e89abab216a6b7ab10,fc9f96f0024648e89abab216a6b7ab10,07/17/2014,00:19:18,A,1,10000,2294a441a305426491d4928506189832,2294a441-a305-4264-91d4-928506189832,,FI14071700001307,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10000,HKD,HKG,9d677ffe1362434b98f963458beca9f8,9d677ffe1362434b98f963458beca9f8,07/17/2014,00:27:46,A,1,10000,bc42b74e9a2642b9863b33715c7158aa,bc42b74e-9a26-42b9-863b-33715c7158aa,,FI14071700001342,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,30000,HKD,HKG,03e92010c49e453ba90b78f6258b06f4,03e92010c49e453ba90b78f6258b06f4,07/17/2014,01:36:37,A,1,30000,90d0db2060104c2baa9ab5fbb8ac3410,90d0db20-6010-4c2b-aa9a-b5fbb8ac3410,,FI14071700001591,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,8000,HKD,HKG,760c04fcf0bc499bb43fe12135e53195,760c04fcf0bc499bb43fe12135e53195,07/17/2014,01:42:18,A,1,8000,f9a98d112671457bb2777dc1e8cfe506,f9a98d11-2671-457b-b277-7dc1e8cfe506,,FI14071700001615,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10000,HKD,HKG,48f9318bc46742e4acda61d3d2c2d442,48f9318bc46742e4acda61d3d2c2d442,07/17/2014,01:59:39,A,1,10000,14944e03bbe74a20b1594c23a2d27112,14944e03-bbe7-4a20-b159-4c23a2d27112,,FI14071700001674,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,12000,HKD,HKG,db209cb470844e8a977d953f90cbc48f,db209cb470844e8a977d953f90cbc48f,07/17/2014,02:02:11,A,1,12000,7c5882c48bd84944b8a9361b328a46ab,7c5882c4-8bd8-4944-b8a9-361b328a46ab,,FI14071700001682,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10600,HKD,HKG,26cf43c044af4fe79b3708d7b62abe3c,26cf43c044af4fe79b3708d7b62abe3c,07/17/2014,02:11:12,A,1,10600,cd38732ea58b41a2b331848fc8fe5eda,cd38732e-a58b-41a2-b331-848fc8fe5eda,,FI14071700001713,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10000,HKD,HKG,346e0969a303476f9ae88cb7b0bad128,346e0969a303476f9ae88cb7b0bad128,07/17/2014,02:31:33,A,1,10000,b6627c3a1111411596f8f6c15f8ec05e,b6627c3a-1111-4115-96f8-f6c15f8ec05e,,FI14071700001783,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10000,HKD,HKG,b45d1495bc094779891878d087d72053,b45d1495bc094779891878d087d72053,07/17/2014,02:31:46,A,1,10000,93aa9c5e09f24e60b806fe3739b1c178,93aa9c5e-09f2-4e60-b806-fe3739b1c178,,FI14071700001784,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10000,HKD,HKG,cdd0d69dd7ae46ae8a55611cf046b78b,cdd0d69dd7ae46ae8a55611cf046b78b,07/17/2014,02:57:24,A,1,10000,98a8476bd58c4b948e3152d7c3b99f2a,98a8476b-d58c-4b94-8e31-52d7c3b99f2a,,FI14071700001854,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,5000,HKD,HKG,5c628d32326e4b868369868235dc1d34,5c628d32326e4b868369868235dc1d34,07/17/2014,03:10:49,A,1,5000,c535b966f8464ddda37fef9f03891aa9,c535b966-f846-4ddd-a37f-ef9f03891aa9,,FI14071700001890,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,20000,HKD,HKG,ebdb104d7b794b5799dbf01de4503076,ebdb104d7b794b5799dbf01de4503076,07/17/2014,03:18:12,A,1,20000,f73dd75779df488a81e9cc6f929cc96c,f73dd757-79df-488a-81e9-cc6f929cc96c,,FI14071700001908,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,5000,HKD,HKG,406fe95bba1f4cbfbf9dc2f24b18b8b0,406fe95bba1f4cbfbf9dc2f24b18b8b0,07/17/2014,03:21:47,A,1,5000,dabacf27125a402daa4fefeed34b5300,dabacf27-125a-402d-aa4f-efeed34b5300,,FI14071700001918,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,30000,HKD,HKG,c9de1b78528d468a94ef915cf17ef58d,c9de1b78528d468a94ef915cf17ef58d,07/17/2014,03:23:48,A,1,30000,0ce59e3f8af74784a12f694cea1ddb23,0ce59e3f-8af7-4784-a12f-694cea1ddb23,,FI14071700001925,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,30000,HKD,HKG,685dd1f9e8d04cee979a34c6fc6e4b53,685dd1f9e8d04cee979a34c6fc6e4b53,07/17/2014,03:24:23,A,1,30000,893034ebc3a642f894e3ecda08669c1b,893034eb-c3a6-42f8-94e3-ecda08669c1b,,FI14071700001927,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,30500,HKD,HKG,36d04ce43f5f4db19039bf62734f581b,36d04ce43f5f4db19039bf62734f581b,07/17/2014,03:29:11,A,1,30500,970a1500061d449ea9dd2ae99aaaf992,970a1500-061d-449e-a9dd-2ae99aaaf992,,FI14071700001944,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,20000,HKD,HKG,92ced3b14e6a4252901f5fc4b4858933,92ced3b14e6a4252901f5fc4b4858933,07/17/2014,03:35:43,A,1,20000,75f0a6d815984f2bb5eadf54720cfd30,75f0a6d8-1598-4f2b-b5ea-df54720cfd30,,FI14071700001959,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,1500,HKD,HKG,7424a0684ff14372b595d0759d11f386,7424a0684ff14372b595d0759d11f386,07/17/2014,03:54:57,A,1,1500,77962432d16a47ba8a8f904d0dfb01cc,77962432-d16a-47ba-8a8f-904d0dfb01cc,,FI14071700002024,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,10000,HKD,HKG,e51a6077162d4d0b8238175d0308b947,e51a6077162d4d0b8238175d0308b947,07/17/2014,04:00:11,A,1,10000,ca36b6d0f8314107aec4c16d02722956,ca36b6d0-f831-4107-aec4-c16d02722956,,FI14071700002037,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,4000,HKD,HKG,fd6ce8d7f7964f75b71db022a863ebd9,fd6ce8d7f7964f75b71db022a863ebd9,07/17/2014,04:39:11,A,1,4000,dd0ad7d2dd204ec3b97b6576476ee5da,dd0ad7d2-dd20-4ec3-b97b-6576476ee5da,,FI14071700002162,1400,132000
MyCard,,,,,,Facebook,,12345,FAC18MARGIN0HKD-DIGGMGMYC-001,1400,HKD,HKG,2a9b37c84733460c9ab5c50ee63e9c92,2a9b37c84733460c9ab5c50ee63e9c92,07/17/2014,05:03:42,A,1,1400,0ee12e7a4d7a442cb5ce7b6bfc952c72,0ee12e7a-4d7a-442c-b5ce-7b6bfc952c72,,FI14071700002223,1400,132000
