Merchant,Location,City,State,Zip,Country,Vendor,VendorID,DCMSID,Product,Denomination,Currency,ProductCountry,SerialNumber,VAN16,TransDate,TransTime,Action,Sign,CardAmount,RefNo,HISTORYID,MarketingCode,ActivatorPartnerTransId,Min,Max
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,15000,TWD,TWN,b476eac7db8c44298a52af4590f958e6,b476eac7db8c44298a52af4590f958e6,07/17/2014,00:00:40,A,1,15000,9d3d7d45207f47a79324fa0bf8a82e19,9d3d7d45-207f-47a7-9324-fa0bf8a82e19,,FI14071700001231,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,1500,TWD,TWN,6188944d9d4d46a1bc7fac6c58a24d38,6188944d9d4d46a1bc7fac6c58a24d38,07/17/2014,00:00:53,A,1,1500,7eda525124124c2a9ceaf22543e83ca5,7eda5251-2412-4c2a-9cea-f22543e83ca5,,FI14071700001233,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,50000,TWD,TWN,f9e1f38a95b849fea40ac57fca167881,f9e1f38a95b849fea40ac57fca167881,07/17/2014,00:03:04,A,1,50000,290962dc88f046e19b9ef55f362fc7b4,290962dc-88f0-46e1-9b9e-f55f362fc7b4,,FI14071700001235,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,50000,TWD,TWN,a18cb82999f1419eb4e0da182be80d0d,a18cb82999f1419eb4e0da182be80d0d,07/17/2014,00:04:51,A,1,50000,2e9cd8b7c0f94f7b987aa0738969c541,2e9cd8b7-c0f9-4f7b-987a-a0738969c541,,FI14071700001240,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,15000,TWD,TWN,5998580a06cd49cfa4e24bcd00c1fdf4,5998580a06cd49cfa4e24bcd00c1fdf4,07/17/2014,00:05:19,A,1,15000,30a4854728524d2cac91ead4c8ebc520,30a48547-2852-4d2c-ac91-ead4c8ebc520,,FI14071700001243,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,50000,TWD,TWN,3c9025d59b384c2aadafd4ae73517b64,3c9025d59b384c2aadafd4ae73517b64,07/17/2014,00:05:49,A,1,50000,8d4e59e0095f427ab6baa2926d699e19,8d4e59e0-095f-427a-b6ba-a2926d699e19,,FI14071700001246,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,200000,TWD,TWN,ea497adf0e894d4482fc0554dfe38c3e,ea497adf0e894d4482fc0554dfe38c3e,07/17/2014,00:06:47,A,1,200000,1b15848a80a447ad956b5e49e84916a9,1b15848a-80a4-47ad-956b-5e49e84916a9,,FI14071700001248,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,1500,TWD,TWN,8f7461b45dc840729d63d496bb6d8527,8f7461b45dc840729d63d496bb6d8527,07/17/2014,00:07:41,A,1,1500,9057ffe53abc43c785aaa95a6023982e,9057ffe5-3abc-43c7-85aa-a95a6023982e,,FV14071700001252,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,200000,TWD,TWN,fc69f8207ade467bbe9bd397de39f32d,fc69f8207ade467bbe9bd397de39f32d,07/17/2014,00:07:46,A,1,200000,0246b0eb740643099382f8612c29a9fd,0246b0eb-7406-4309-9382-f8612c29a9fd,,FI14071700001253,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,1500,TWD,TWN,ebe5a5d3930947ee9d0e88b752111d76,ebe5a5d3930947ee9d0e88b752111d76,07/17/2014,00:07:55,A,1,1500,8e1ed85eb1e44c65946e52d9cfc1ffc4,8e1ed85e-b1e4-4c65-946e-52d9cfc1ffc4,,FV14071700001255,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,1500,TWD,TWN,9b1ee20050014d2bbff2cb71bfb61007,9b1ee20050014d2bbff2cb71bfb61007,07/17/2014,00:08:07,A,1,1500,9a5b3d1de2b74501a525d9019802f9b6,9a5b3d1d-e2b7-4501-a525-d9019802f9b6,,FV14071700001256,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,1500,TWD,TWN,835d21998e6b42f482da0c672bccbb51,835d21998e6b42f482da0c672bccbb51,07/17/2014,00:08:16,A,1,1500,149315a8aa844af5afc234be8e37ea4f,149315a8-aa84-4af5-afc2-34be8e37ea4f,,FV14071700001259,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,1500,TWD,TWN,b30e715b7fe94d6c9f498423e3a448b2,b30e715b7fe94d6c9f498423e3a448b2,07/17/2014,00:08:25,A,1,1500,59fad800258d42b1ac64bd84ab597817,59fad800-258d-42b1-ac64-bd84ab597817,,FV14071700001260,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,900,TWD,TWN,60f88c4f3093448bb020aca172ab85bc,60f88c4f3093448bb020aca172ab85bc,07/17/2014,00:08:38,A,1,900,7215c227d51a4c82b87b0f0b88ce8376,7215c227-d51a-4c82-b87b-0f0b88ce8376,,FV14071700001261,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,15000,TWD,TWN,74283c6dd90d46c7b2f1dbc428ea4b28,74283c6dd90d46c7b2f1dbc428ea4b28,07/17/2014,00:08:45,A,1,15000,fa3d44d2589a478e99d8d3e674734c7a,fa3d44d2-589a-478e-99d8-d3e674734c7a,,FI14071700001264,300,500000
MyCard,,,,,,Facebook,,12345,FAC235MARGIN0TWD-DIGGMGMYC-001,200000,TWD,TWN,1c27d1d3792944d89c7635422bdc6191,1c27d1d3792944d89c7635422bdc6191,07/17/2014,00:08:47,A,1,200000,1ea52ec0b8804958a918f8e30d3f0798,1ea52ec0-b880-4958-a918-f8e30d3f0798,,FI14071700001265,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,900,TWD,TWN,3f8be2813a364241b7fc14e1ed4ec5dd,3f8be2813a364241b7fc14e1ed4ec5dd,07/17/2014,00:08:49,A,1,900,188ecac735354e11a785dd507d92bfc7,188ecac7-3535-4e11-a785-dd507d92bfc7,,FV14071700001266,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,15000,TWD,TWN,3628e57d045945078447eb30d295fe7f,3628e57d045945078447eb30d295fe7f,07/17/2014,00:08:56,A,1,15000,e7c20af1a5c143bdb8a6449bb4eb0186,e7c20af1-a5c1-43bd-b8a6-449bb4eb0186,,FI14071700001267,300,500000
MyCard,,,,,,Facebook,,12345,FAC25MARGIN0TWD-DIGGMGMYC-003,900,TWD,TWN,6653a43ff476403480332b1ac9885faa,6653a43ff476403480332b1ac9885faa,07/17/2014,00:08:58,A,1,900,0856e7e1d4e24b3b9105bd83a1c3e1ef,0856e7e1-d4e2-4b3b-9105-bd83a1c3e1ef,,FV14071700001268,300,500000
